nct_id,start_year,completion_year,phase,overall_status,primary_purpose
NCT00000117,1995.0,1997.0,Phase 3,Completed,Treatment
NCT00000146,1988.0,,Phase 3,Unknown status,Treatment
NCT00000147,1988.0,,Not Applicable,Unknown status,Treatment
NCT00000151,1979.0,,Phase 3,Completed,Treatment
NCT00000170,1999.0,2013.0,Phase 3,Completed,Treatment
NCT00000171,,,Phase 3,Completed,Treatment
NCT00000172,,,Phase 3,Completed,Treatment
NCT00000173,1999.0,2004.0,Phase 3,Completed,Treatment
NCT00000174,,,Phase 3,Completed,Treatment
NCT00000175,,2005.0,Not Applicable,Terminated,Treatment
NCT00000176,,2007.0,Phase 3,Completed,Prevention
NCT00000177,1995.0,1999.0,Phase 3,Completed,Treatment
NCT00000178,,,Phase 3,Completed,Treatment
NCT00000179,,,Phase 3,Completed,Treatment
NCT00000180,,2005.0,Phase 1,Completed,Treatment
NCT00000187,1992.0,,Phase 2,Completed,Treatment
NCT00000188,1994.0,1995.0,Phase 2,Completed,Treatment
NCT00000189,1990.0,1991.0,Phase 2,Completed,Treatment
NCT00000190,1991.0,1992.0,Phase 1,Completed,Diagnostic
NCT00000191,1991.0,1994.0,Phase 2,Completed,Treatment
NCT00000197,1987.0,2002.0,Phase 2,Completed,Treatment
NCT00000198,1996.0,1997.0,Phase 1,Completed,Treatment
NCT00000199,,,Phase 1,Withdrawn,Treatment
NCT00000200,1997.0,1998.0,Phase 2,Completed,Treatment
NCT00000201,,2001.0,Phase 2,Completed,Treatment
NCT00000210,1989.0,1996.0,Phase 2,Completed,Treatment
NCT00000211,1989.0,1996.0,Phase 2,Completed,Treatment
NCT00000212,1987.0,1988.0,Phase 2,Completed,Treatment
NCT00000213,1990.0,1991.0,Phase 2,Completed,Treatment
NCT00000214,1992.0,1993.0,Phase 2,Completed,Treatment
NCT00000215,,2001.0,Phase 2,Completed,Treatment
NCT00000216,,2005.0,Phase 3,Completed,Treatment
NCT00000217,1990.0,,Phase 2,Completed,Treatment
NCT00000218,,2005.0,Phase 4,Completed,Treatment
NCT00000240,1999.0,,Phase 2,Completed,Treatment
NCT00000241,1994.0,1996.0,Phase 2,Completed,Treatment
NCT00000242,1992.0,1997.0,Phase 2,Completed,Treatment
NCT00000244,1994.0,1997.0,Phase 2,Completed,Treatment
NCT00000245,1994.0,2001.0,Phase 2,Completed,Treatment
NCT00000246,1993.0,1994.0,Phase 2,Completed,Treatment
NCT00000248,1996.0,,Phase 3,Completed,Treatment
NCT00000249,1993.0,1995.0,Phase 2,Completed,Treatment
NCT00000250,1993.0,1995.0,Phase 2,Completed,Treatment
NCT00000251,1994.0,1996.0,Phase 2,Completed,Treatment
NCT00000252,1994.0,1996.0,Phase 2,Completed,Treatment
NCT00000253,1994.0,1996.0,Not Applicable,Completed,
NCT00000254,1995.0,1995.0,Phase 2,Completed,Treatment
NCT00000255,1995.0,1996.0,Phase 2,Completed,Treatment
NCT00000256,1995.0,1996.0,Not Applicable,Completed,
NCT00000257,1995.0,1997.0,Not Applicable,Completed,
NCT00000259,1996.0,1997.0,Not Applicable,Completed,
NCT00000260,1997.0,1998.0,Not Applicable,Completed,
NCT00000261,1997.0,1998.0,Phase 2,Completed,
NCT00000262,1996.0,1999.0,Not Applicable,Completed,Treatment
NCT00000263,1997.0,1998.0,Not Applicable,Completed,
NCT00000264,1997.0,1999.0,Not Applicable,Completed,
NCT00000266,1994.0,2001.0,Phase 2,Completed,Treatment
NCT00000267,,2001.0,Phase 2,Completed,Treatment
NCT00000268,1995.0,1998.0,Not Applicable,Completed,Treatment
NCT00000269,1995.0,2001.0,Phase 2,Completed,Treatment
NCT00000270,1995.0,1995.0,Phase 4,Withdrawn,Treatment
NCT00000271,1995.0,2002.0,Phase 2,Completed,Treatment
NCT00000273,1995.0,2005.0,Phase 2,Completed,Treatment
NCT00000274,1997.0,1999.0,Phase 2,Completed,Treatment
NCT00000275,1996.0,1998.0,Phase 2,Completed,Treatment
NCT00000276,1994.0,1999.0,Phase 1,Terminated,Treatment
NCT00000277,1994.0,1999.0,Phase 2,Completed,Treatment
