nct_id,country
NCT00000117,United States
NCT00000146,United States
NCT00000147,United States
NCT00000151,
NCT00000170,United States
NCT00000171,United States
NCT00000172,United States
NCT00000173,United States
NCT00000173,Canada
NCT00000174,United States
NCT00000175,United States
NCT00000176,United States
NCT00000177,United States
NCT00000178,United States
NCT00000179,United States
NCT00000180,United States
NCT00000187,United States
NCT00000188,United States
NCT00000189,United States
NCT00000190,United States
NCT00000191,United States
NCT00000197,United States
NCT00000198,United States
NCT00000199,United States
NCT00000200,United States
NCT00000201,United States
NCT00000210,United States
NCT00000211,United States
NCT00000212,United States
NCT00000213,United States
NCT00000214,United States
NCT00000215,United States
NCT00000216,United States
NCT00000217,United States
NCT00000218,United States
NCT00000240,United States
NCT00000241,United States
NCT00000242,United States
NCT00000244,United States
NCT00000245,United States
NCT00000246,United States
NCT00000248,United States
NCT00000249,United States
NCT00000250,United States
NCT00000251,United States
NCT00000252,United States
NCT00000253,United States
NCT00000254,United States
NCT00000255,United States
NCT00000256,United States
NCT00000257,United States
NCT00000259,United States
NCT00000260,United States
NCT00000261,United States
NCT00000262,United States
NCT00000263,United States
NCT00000264,United States
NCT00000266,United States
NCT00000267,United States
NCT00000268,United States
NCT00000269,United States
NCT00000270,United States
NCT00000271,United States
NCT00000273,United States
NCT00000274,United States
NCT00000275,United States
NCT00000276,United States
NCT00000277,United States
NCT00000278,United States
NCT00000279,United States
NCT00000280,United States
NCT00000282,United States
NCT00000284,United States
NCT00000285,United States
NCT00000286,United States
NCT00000288,United States
NCT00000289,United States
NCT00000290,United States
NCT00000291,United States
NCT00000292,United States
NCT00000293,United States
NCT00000294,United States
NCT00000295,United States
NCT00000296,United States
NCT00000297,United States
NCT00000301,United States
NCT00000303,United States
NCT00000304,United States
NCT00000305,United States
NCT00000306,United States
NCT00000307,United States
NCT00000308,United States
NCT00000309,United States
NCT00000310,United States
NCT00000311,United States
NCT00000312,United States
NCT00000313,United States
NCT00000314,United States
NCT00000315,United States
NCT00000316,United States
NCT00000317,United States
NCT00000318,United States
NCT00000319,United States
NCT00000321,United States
NCT00000322,United States
NCT00000324,United States
NCT00000332,United States
NCT00000333,United States
NCT00000336,United States
NCT00000337,United States
NCT00000338,United States
NCT00000339,United States
NCT00000340,
NCT00000342,United States
NCT00000346,United States
NCT00000347,United States
NCT00000348,United States
NCT00000349,United States
NCT00000352,United States
NCT00000353,United States
NCT00000354,United States
NCT00000355,United States
NCT00000356,United States
NCT00000357,United States
NCT00000358,United States
NCT00000361,United States
NCT00000367,United States
NCT00000368,United States
NCT00000369,
NCT00000371,
NCT00000372,United States
NCT00000373,United States
NCT00000374,United States
NCT00000376,
NCT00000377,
NCT00000378,United States
NCT00000379,United States
NCT00000380,
NCT00000381,
NCT00000384,United States
NCT00000385,United States
NCT00000388,
NCT00000389,
NCT00000390,United States
NCT00000392,United States
NCT00000393,United States
NCT00000428,United States
NCT00000439,United States
NCT00000446,United States
NCT00000448,United States
NCT00000458,United States
NCT00000469,
NCT00000479,
NCT00000514,
NCT00000517,
NCT00000527,
NCT00000599,
NCT00000600,
NCT00000613,
NCT00000639,United States
NCT00000643,United States
NCT00000648,United States
NCT00000657,United States
NCT00000666,United States
NCT00000674,United States
NCT00000677,United States
NCT00000702,United States
NCT00000708,United States
NCT00000709,United States
NCT00000738,United States
NCT00000776,United States
NCT00000776,Puerto Rico
NCT00000793,United States
NCT00000793,Tanzania
NCT00000794,United States
NCT00000817,United States
NCT00000842,United States
NCT00000867,United States
NCT00000945,United States
NCT00000966,United States
NCT00000973,United States
NCT00001017,United States
NCT00001048,United States
NCT00001146,United States
NCT00001234,United States
NCT00001251,United States
NCT00001261,United States
NCT00001262,United States
NCT00001287,United States
NCT00001328,United States
NCT00001333,United States
NCT00001344,United States
NCT00001365,United States
NCT00001410,United States
NCT00001416,United States
NCT00001421,United States
