nct_id,start_year,enrollment,enrollment_type,enrollment_class
NCT00000117,1995.0,,,not reported
NCT00000146,1988.0,,,not reported
NCT00000147,1988.0,,,not reported
NCT00000151,1979.0,,,not reported
NCT00000170,1999.0,419.0,Actual,"101–1,000"
NCT00000171,,,,not reported
NCT00000172,,,,not reported
NCT00000173,1999.0,,,not reported
NCT00000174,,,,not reported
NCT00000175,,,,not reported
NCT00000176,,,,not reported
NCT00000177,1995.0,120.0,,"101–1,000"
NCT00000178,,,,not reported
NCT00000179,,,,not reported
NCT00000180,,,,not reported
NCT00000187,1992.0,80.0,Actual,51–100
NCT00000188,1994.0,50.0,Actual,11–50
NCT00000189,1990.0,41.0,Actual,11–50
NCT00000190,1991.0,0.0,,0–10
NCT00000191,1991.0,0.0,,0–10
NCT00000197,1987.0,0.0,,0–10
NCT00000198,1996.0,0.0,,0–10
NCT00000199,,0.0,Actual,0–10
NCT00000200,1997.0,19.0,Actual,11–50
NCT00000201,,0.0,,0–10
NCT00000210,1989.0,0.0,,0–10
NCT00000211,1989.0,0.0,,0–10
NCT00000212,1987.0,0.0,,0–10
NCT00000213,1990.0,0.0,,0–10
NCT00000214,1992.0,0.0,,0–10
NCT00000215,,0.0,,0–10
NCT00000216,,0.0,,0–10
NCT00000217,1990.0,,,not reported
NCT00000218,,353.0,,"101–1,000"
NCT00000240,1999.0,0.0,,0–10
NCT00000241,1994.0,58.0,,51–100
NCT00000242,1992.0,0.0,,0–10
NCT00000244,1994.0,0.0,,0–10
NCT00000245,1994.0,0.0,,0–10
NCT00000246,1993.0,10.0,Actual,0–10
NCT00000248,1996.0,0.0,,0–10
NCT00000249,1993.0,10.0,Actual,0–10
NCT00000250,1993.0,12.0,Actual,11–50
NCT00000251,1994.0,10.0,Actual,0–10
NCT00000252,1994.0,11.0,Actual,11–50
NCT00000253,1994.0,16.0,Actual,11–50
NCT00000254,1995.0,10.0,Actual,0–10
NCT00000255,1995.0,10.0,Actual,0–10
NCT00000256,1995.0,11.0,Actual,11–50
NCT00000257,1995.0,19.0,Actual,11–50
NCT00000259,1996.0,12.0,Actual,11–50
NCT00000260,1997.0,18.0,Actual,11–50
NCT00000261,1997.0,14.0,Actual,11–50
NCT00000262,1996.0,20.0,Actual,11–50
NCT00000263,1997.0,11.0,Actual,11–50
NCT00000264,1997.0,8.0,Actual,0–10
NCT00000266,1994.0,0.0,,0–10
NCT00000267,,0.0,,0–10
NCT00000268,1995.0,32.0,,11–50
NCT00000269,1995.0,0.0,,0–10
NCT00000270,1995.0,0.0,Actual,0–10
NCT00000271,1995.0,111.0,Actual,"101–1,000"
NCT00000273,1995.0,8.0,Actual,0–10
NCT00000274,1997.0,60.0,,51–100
NCT00000275,1996.0,16.0,,11–50
NCT00000276,1994.0,0.0,,0–10
NCT00000277,1994.0,0.0,,0–10
NCT00000278,1994.0,0.0,,0–10
NCT00000279,1994.0,0.0,,0–10
NCT00000280,1994.0,0.0,,0–10
NCT00000282,1994.0,0.0,,0–10
NCT00000284,1995.0,0.0,,0–10
NCT00000285,1996.0,0.0,,0–10
NCT00000286,1996.0,0.0,,0–10
NCT00000288,1995.0,0.0,,0–10
NCT00000289,1998.0,0.0,,0–10
NCT00000290,1997.0,0.0,,0–10
NCT00000291,1997.0,0.0,,0–10
NCT00000292,1996.0,0.0,,0–10
NCT00000293,1999.0,0.0,,0–10
NCT00000294,1998.0,0.0,,0–10
NCT00000295,1999.0,0.0,,0–10
NCT00000296,1997.0,0.0,,0–10
NCT00000297,1998.0,0.0,,0–10
NCT00000301,1996.0,0.0,,0–10
NCT00000303,1997.0,0.0,,0–10
NCT00000304,1997.0,120.0,Actual,"101–1,000"
NCT00000305,,0.0,,0–10
NCT00000306,1994.0,140.0,,"101–1,000"
NCT00000307,2003.0,0.0,,0–10
NCT00000308,1995.0,54.0,Actual,51–100
NCT00000309,1994.0,0.0,,0–10
NCT00000310,1996.0,0.0,,0–10
NCT00000311,1995.0,168.0,Actual,"101–1,000"
NCT00000312,,0.0,,0–10
NCT00000313,,0.0,,0–10
NCT00000314,1994.0,0.0,,0–10
NCT00000315,1996.0,0.0,,0–10
NCT00000316,1996.0,0.0,,0–10
NCT00000317,1996.0,31.0,Actual,11–50
NCT00000318,1994.0,202.0,Actual,"101–1,000"
NCT00000319,1996.0,0.0,,0–10
NCT00000321,1996.0,0.0,,0–10
NCT00000322,1997.0,89.0,,51–100
NCT00000324,1997.0,200.0,,"101–1,000"
NCT00000332,1998.0,0.0,,0–10
NCT00000333,2001.0,0.0,,0–10
NCT00000336,1995.0,0.0,,0–10
NCT00000337,1994.0,0.0,,0–10
NCT00000338,1996.0,2.0,,0–10
NCT00000339,1996.0,13.0,,11–50
NCT00000340,1996.0,0.0,Actual,0–10
NCT00000342,1996.0,0.0,,0–10
NCT00000346,,80.0,,51–100
NCT00000347,1997.0,0.0,,0–10
NCT00000348,,0.0,,0–10
NCT00000349,,0.0,,0–10
NCT00000352,1996.0,0.0,,0–10
NCT00000353,1996.0,0.0,,0–10
NCT00000354,1996.0,0.0,,0–10
NCT00000355,1994.0,0.0,,0–10
NCT00000356,1991.0,0.0,,0–10
NCT00000357,1992.0,0.0,,0–10
NCT00000358,,0.0,,0–10
NCT00000361,1998.0,,,not reported
NCT00000367,1998.0,,,not reported
NCT00000368,1999.0,379.0,Actual,"101–1,000"
NCT00000369,1997.0,,,not reported
NCT00000371,1996.0,60.0,Actual,51–100
NCT00000372,1998.0,0.0,Actual,0–10
NCT00000373,1992.0,74.0,Actual,51–100
NCT00000374,1998.0,125.0,Actual,"101–1,000"
NCT00000376,1996.0,,,not reported
NCT00000377,1989.0,,,not reported
NCT00000378,1997.0,110.0,Actual,"101–1,000"
NCT00000379,1999.0,,,not reported
NCT00000380,1996.0,,,not reported
NCT00000381,1997.0,,,not reported
NCT00000384,1997.0,,,not reported
NCT00000385,1997.0,59.0,Actual,51–100
NCT00000388,1998.0,,,not reported
NCT00000389,1996.0,,,not reported
NCT00000390,,,,not reported
NCT00000392,1990.0,215.0,Actual,"101–1,000"
NCT00000393,1988.0,6.0,Actual,0–10
NCT00000428,2000.0,58.0,Actual,51–100
NCT00000439,2000.0,72.0,Actual,51–100
NCT00000446,,,,not reported
NCT00000448,1995.0,160.0,Actual,"101–1,000"
NCT00000458,,100.0,,51–100
NCT00000469,1988.0,,,not reported
NCT00000479,1992.0,39876.0,Actual,">1,000"
NCT00000514,1984.0,,,not reported
NCT00000517,1985.0,,,not reported
NCT00000527,1986.0,,,not reported
NCT00000599,1980.0,,,not reported
NCT00000600,1995.0,,,not reported
NCT00000613,1997.0,,,not reported
NCT00000639,,400.0,,"101–1,000"
NCT00000643,,150.0,,"101–1,000"
NCT00000648,,100.0,,51–100
NCT00000657,,80.0,,51–100
NCT00000666,,600.0,,"101–1,000"
NCT00000674,,30.0,,11–50
NCT00000677,,50.0,,11–50
NCT00000702,,315.0,,"101–1,000"
NCT00000708,,120.0,,"101–1,000"
NCT00000709,,50.0,,11–50
NCT00000738,,36.0,,11–50
NCT00000776,,36.0,,11–50
NCT00000793,,240.0,,"101–1,000"
NCT00000794,,100.0,,51–100
NCT00000817,1994.0,260.0,Actual,"101–1,000"
NCT00000842,,270.0,,"101–1,000"
NCT00000867,1996.0,120.0,,"101–1,000"
NCT00000945,,24.0,,11–50
NCT00000966,,45.0,,11–50
NCT00000973,,26.0,,11–50
NCT00001017,,330.0,,"101–1,000"
NCT00001048,,90.0,,51–100
NCT00001146,1999.0,240.0,,"101–1,000"
NCT00001234,1988.0,120.0,,"101–1,000"
NCT00001251,1989.0,65.0,,51–100
NCT00001261,1990.0,120.0,,"101–1,000"
NCT00001262,1990.0,60.0,Actual,51–100
NCT00001287,1990.0,60.0,,51–100
NCT00001328,1992.0,15.0,Actual,11–50
NCT00001333,1993.0,30.0,,11–50
NCT00001344,1993.0,129.0,,"101–1,000"
NCT00001365,1993.0,42.0,,11–50
NCT00001410,1993.0,18.0,,11–50
NCT00001416,1993.0,100.0,,51–100
NCT00001421,1995.0,20.0,,11–50
NCT00001482,1995.0,60.0,,51–100
NCT00001483,1995.0,75.0,,51–100
NCT00001487,1995.0,60.0,,51–100
NCT00001502,1996.0,30.0,,11–50
NCT00001520,1996.0,60.0,,51–100
NCT00001550,1996.0,20.0,,11–50
NCT00001565,1996.0,35.0,,11–50
NCT00001656,1997.0,25.0,Actual,11–50
NCT00001658,1997.0,30.0,,11–50
NCT00001662,1996.0,40.0,,11–50
NCT00001669,1997.0,15.0,,11–50
NCT00001723,1998.0,200.0,Actual,"101–1,000"
NCT00001725,1997.0,100.0,,51–100
NCT00001768,1997.0,10.0,,0–10
NCT00001777,1997.0,30.0,,11–50
NCT00001781,1998.0,25.0,,11–50
NCT00001783,1998.0,34.0,,11–50
NCT00001784,1998.0,24.0,,11–50
NCT00001785,1998.0,12.0,,11–50
NCT00001860,1999.0,5.0,,0–10
NCT00001864,1999.0,20.0,,11–50
NCT00001925,1999.0,23.0,,11–50
NCT00001929,1999.0,20.0,,11–50
NCT00001930,1999.0,25.0,,11–50
NCT00001931,1999.0,20.0,,11–50
NCT00001933,1999.0,50.0,,11–50
NCT00001934,1999.0,22.0,Actual,11–50
NCT00001956,2000.0,800.0,,"101–1,000"
NCT00001986,2000.0,12.0,,11–50
NCT00001994,,,,not reported
NCT00002010,,,,not reported
NCT00002019,,,,not reported
NCT00002040,,,,not reported
NCT00002044,,,,not reported
NCT00002064,,,,not reported
NCT00002068,,,,not reported
NCT00002074,,,,not reported
NCT00002075,,,,not reported
NCT00002076,,,,not reported
NCT00002077,,,,not reported
NCT00002083,,,,not reported
NCT00002113,,64.0,,51–100
NCT00002163,,,,not reported
NCT00002209,,48.0,,11–50
NCT00002246,1997.0,20.0,,11–50
NCT00002270,,,,not reported
NCT00002274,,,,not reported
NCT00002294,,,,not reported
NCT00002305,,,,not reported
NCT00002306,,,,not reported
