nct_id,start_year,completion_year,were_results_reported,months_to_report_results,overall_status
NCT00000117,1995.0,1997.0,False,,Completed
NCT00000146,1988.0,,False,,Unknown status
NCT00000147,1988.0,,False,,Unknown status
NCT00000151,1979.0,,False,,Completed
NCT00000170,1999.0,2013.0,False,,Completed
NCT00000171,,,False,,Completed
NCT00000172,,,False,,Completed
NCT00000173,1999.0,2004.0,False,,Completed
NCT00000174,,,False,,Completed
NCT00000175,,2005.0,False,,Terminated
NCT00000176,,2007.0,False,,Completed
NCT00000177,1995.0,1999.0,False,,Completed
NCT00000178,,,False,,Completed
NCT00000179,,,False,,Completed
NCT00000180,,2005.0,False,,Completed
NCT00000187,1992.0,,False,,Completed
NCT00000188,1994.0,1995.0,False,,Completed
NCT00000189,1990.0,1991.0,False,,Completed
NCT00000190,1991.0,1992.0,False,,Completed
NCT00000191,1991.0,1994.0,False,,Completed
NCT00000197,1987.0,2002.0,False,,Completed
NCT00000198,1996.0,1997.0,False,,Completed
NCT00000199,,,False,,Withdrawn
NCT00000200,1997.0,1998.0,False,,Completed
NCT00000201,,2001.0,False,,Completed
NCT00000210,1989.0,1996.0,False,,Completed
NCT00000211,1989.0,1996.0,False,,Completed
NCT00000212,1987.0,1988.0,False,,Completed
NCT00000213,1990.0,1991.0,False,,Completed
NCT00000214,1992.0,1993.0,False,,Completed
NCT00000215,,2001.0,False,,Completed
NCT00000216,,2005.0,False,,Completed
NCT00000217,1990.0,,False,,Completed
NCT00000218,,2005.0,False,,Completed
NCT00000240,1999.0,,False,,Completed
NCT00000241,1994.0,1996.0,False,,Completed
NCT00000242,1992.0,1997.0,False,,Completed
NCT00000244,1994.0,1997.0,False,,Completed
NCT00000245,1994.0,2001.0,False,,Completed
NCT00000246,1993.0,1994.0,False,,Completed
NCT00000248,1996.0,,False,,Completed
NCT00000249,1993.0,1995.0,False,,Completed
NCT00000250,1993.0,1995.0,False,,Completed
NCT00000251,1994.0,1996.0,False,,Completed
NCT00000252,1994.0,1996.0,False,,Completed
NCT00000253,1994.0,1996.0,False,,Completed
NCT00000254,1995.0,1995.0,False,,Completed
NCT00000255,1995.0,1996.0,False,,Completed
NCT00000256,1995.0,1996.0,False,,Completed
NCT00000257,1995.0,1997.0,False,,Completed
NCT00000259,1996.0,1997.0,False,,Completed
NCT00000260,1997.0,1998.0,False,,Completed
NCT00000261,1997.0,1998.0,False,,Completed
NCT00000262,1996.0,1999.0,False,,Completed
NCT00000263,1997.0,1998.0,False,,Completed
NCT00000264,1997.0,1999.0,False,,Completed
NCT00000266,1994.0,2001.0,False,,Completed
NCT00000267,,2001.0,False,,Completed
NCT00000268,1995.0,1998.0,False,,Completed
NCT00000269,1995.0,2001.0,False,,Completed
NCT00000270,1995.0,1995.0,False,,Withdrawn
NCT00000271,1995.0,2002.0,False,,Completed
NCT00000273,1995.0,2005.0,False,,Completed
NCT00000274,1997.0,1999.0,False,,Completed
NCT00000275,1996.0,1998.0,False,,Completed
NCT00000276,1994.0,1999.0,False,,Terminated
NCT00000277,1994.0,1999.0,False,,Completed
NCT00000278,1994.0,1999.0,False,,Completed
NCT00000279,1994.0,1999.0,False,,Completed
NCT00000280,1994.0,1999.0,False,,Completed
NCT00000282,1994.0,1999.0,False,,Completed
NCT00000284,1995.0,2001.0,False,,Completed
NCT00000285,1996.0,2001.0,False,,Completed
NCT00000286,1996.0,2001.0,False,,Completed
NCT00000288,1995.0,2002.0,False,,Completed
NCT00000289,1998.0,2001.0,False,,Completed
NCT00000290,1997.0,2001.0,False,,Completed
NCT00000291,1997.0,2001.0,False,,Completed
NCT00000292,1996.0,2001.0,False,,Completed
NCT00000293,1999.0,2001.0,False,,Completed
NCT00000294,1998.0,2001.0,False,,Completed
NCT00000295,1999.0,2001.0,False,,Completed
NCT00000296,1997.0,2001.0,False,,Completed
NCT00000297,1998.0,2001.0,False,,Completed
NCT00000301,1996.0,,False,,Completed
NCT00000303,1997.0,,False,,Completed
NCT00000304,1997.0,2001.0,False,,Completed
