nct_id,start_year,agency_class,lead_or_collaborator,sponsor_name,phase
NCT00000117,1995.0,NIH,lead,National Eye Institute (NEI),Phase 3
NCT00000146,1988.0,NIH,lead,National Eye Institute (NEI),Phase 3
NCT00000147,1988.0,NIH,lead,National Eye Institute (NEI),Not Applicable
NCT00000151,1979.0,NIH,lead,National Eye Institute (NEI),Phase 3
NCT00000170,1999.0,OTHER,lead,Jaeb Center for Health Research,Phase 3
NCT00000170,1999.0,NIH,collaborator,National Eye Institute (NEI),Phase 3
NCT00000171,,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000172,,INDUSTRY,lead,"Janssen, LP",Phase 3
NCT00000173,1999.0,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000173,1999.0,OTHER,collaborator,Alzheimer's Disease Cooperative Study (ADCS),Phase 3
NCT00000174,,INDUSTRY,lead,Novartis,Phase 3
NCT00000175,,NIH,lead,National Institute on Aging (NIA),Not Applicable
NCT00000176,,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000177,1995.0,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000178,,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000179,,NIH,lead,National Institute on Aging (NIA),Phase 3
NCT00000180,,NIH,lead,National Institute on Aging (NIA),Phase 1
NCT00000187,1992.0,OTHER,lead,University of Pennsylvania,Phase 2
NCT00000187,1992.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000188,1994.0,OTHER,lead,University of Pennsylvania,Phase 2
NCT00000188,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000189,1990.0,OTHER,lead,University of Pennsylvania,Phase 2
NCT00000189,1990.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000190,1991.0,OTHER,lead,University of Pennsylvania,Phase 1
NCT00000190,1991.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000191,1991.0,OTHER,lead,University of Pennsylvania,Phase 2
NCT00000191,1991.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000197,1987.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000197,1987.0,OTHER,collaborator,University of Pennsylvania,Phase 2
NCT00000198,1996.0,OTHER,lead,University of Pennsylvania,Phase 1
NCT00000198,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000199,,OTHER,lead,University of Pennsylvania,Phase 1
NCT00000199,,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000200,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000200,1997.0,OTHER,collaborator,Columbia University,Phase 2
NCT00000201,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000201,,OTHER,collaborator,Johns Hopkins University,Phase 2
NCT00000210,1989.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000210,1989.0,OTHER,collaborator,Mclean Hospital,Phase 2
NCT00000211,1989.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000211,1989.0,OTHER,collaborator,Mclean Hospital,Phase 2
NCT00000212,1987.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000212,1987.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000212,1987.0,OTHER,collaborator,Columbia University,Phase 2
NCT00000213,1990.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000213,1990.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000213,1990.0,OTHER,collaborator,Columbia University,Phase 2
NCT00000214,1992.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000214,1992.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000214,1992.0,OTHER,collaborator,Columbia University,Phase 2
NCT00000215,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000215,,OTHER,collaborator,Columbia University,Phase 2
NCT00000216,,OTHER,lead,Yale University,Phase 3
NCT00000216,,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 3
NCT00000217,1990.0,OTHER,lead,University of Kansas,Phase 2
NCT00000217,1990.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000217,1990.0,FED,collaborator,US Department of Veterans Affairs,Phase 2
NCT00000218,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 4
NCT00000218,,FED,collaborator,VA Office of Research and Development,Phase 4
NCT00000240,1999.0,OTHER,lead,University of Vermont,Phase 2
NCT00000240,1999.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000241,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000241,1994.0,OTHER,collaborator,"Friends Research Institute, Inc.",Phase 2
NCT00000242,1992.0,OTHER,lead,Medical University of South Carolina,Phase 2
NCT00000242,1992.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000244,1994.0,OTHER,lead,University of Minnesota,Phase 2
NCT00000244,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000245,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000245,1994.0,OTHER,collaborator,"Friends Research Institute, Inc.",Phase 2
NCT00000246,1993.0,OTHER,lead,Yale University,Phase 2
NCT00000246,1993.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000248,1996.0,OTHER,lead,Medical University of South Carolina,Phase 3
NCT00000248,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 3
NCT00000249,1993.0,OTHER,lead,University of Chicago,Phase 2
NCT00000249,1993.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000250,1993.0,OTHER,lead,University of Chicago,Phase 2
NCT00000250,1993.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000251,1994.0,OTHER,lead,University of Chicago,Phase 2
NCT00000251,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000252,1994.0,OTHER,lead,University of Chicago,Phase 2
NCT00000252,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000253,1994.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000253,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000254,1995.0,OTHER,lead,University of Chicago,Phase 2
NCT00000254,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000255,1995.0,OTHER,lead,University of Chicago,Phase 2
NCT00000255,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000256,1995.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000256,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000257,1995.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000257,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000259,1996.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000259,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000260,1997.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000260,1997.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000261,1997.0,OTHER,lead,University of Chicago,Phase 2
NCT00000261,1997.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000262,1996.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000262,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000263,1997.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000263,1997.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000264,1997.0,OTHER,lead,University of Chicago,Not Applicable
NCT00000264,1997.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000266,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000266,1994.0,OTHER,collaborator,New York State Psychiatric Institute,Phase 2
NCT00000267,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000267,,OTHER,collaborator,New York State Psychiatric Institute,Phase 2
NCT00000268,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Not Applicable
NCT00000268,1995.0,OTHER,collaborator,New York State Psychiatric Institute,Not Applicable
NCT00000269,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
